path	ext	n_sheets	sheet_names	merges	maxcol	maxrow
Demografía de Puno y Proyecciones/Puno - Población estimada y proyectada por departamento, según edad simple y año calendario 1995-2030.xlsx	xlsx	3	PUNO T | PUNO M | PUNO F	30	0	0
Estudios y papers/fuentes titicaca - salud (Joaquin y Xiomara).xlsx	xlsx	1	Hoja 1	0	0	0
Información agricultura, precio en chacra - Joaquin Suazo/Copia de ANEXO_01250013385601.xlsx	xlsx	1	Precio	0	8	31321
Información agricultura, precio en chacra - Joaquin Suazo/Copia de ANEXO_01250013385602.xlsx	xlsx	12	Ave | Ovino | Porcino | Vacuno | Caprino | Alpaca	60	0	0
MIDARH/MIDARH.xlsx	xlsx	1	MIDARH	0	12	3805
Mendoza Grecia_ECDATA CONSTRUCCION 2007 y 2017.xlsx	xlsx	2	Output (2) | Output	14	31	221
Monitoreo de cuencas/2026_02_10_17_18_53_921.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_20_27_695.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_20_34_116.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_20_54_761.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_21_10_564.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_21_19_379.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_21_28_584.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_21_35_240.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_21_42_399.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_21_47_242.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_21_54_323.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_22_12_952.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_22_18_298.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_22_23_173.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_22_27_550.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_22_46_240.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_22_54_820.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_23_00_010.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_23_27_248.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_23_32_766.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_23_37_266.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_23_42_096.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_23_46_471.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_23_51_473.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_23_55_817.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_01_475.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_06_241.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_10_384.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_14_399.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_18_340.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_22_574.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_26_574.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_30_905.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_34_998.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_38_470.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_41_814.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_44_845.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_48_738.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_51_894.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_54_910.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_24_58_616.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_25_04_132.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_25_09_869.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_25_13_462.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_25_17_966.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_25_21_200.xls	xls	1	rptMonitoreoResultadoObservator			
Monitoreo de cuencas/2026_02_10_17_25_27_405.xls	xls	1	rptMonitoreoResultadoObservator			
